stamp,doc_type,n_sentences,n_directional,tone_finbert,tone_direction,tone_finbert_aug,chair
2019-08-23 10:00:00,speech,158.0,8.0,0.006552749419514137,-0.125,-0.020857023193111904,Powell
2019-09-18 14:00:00,statement,13.0,1.0,0.10458978122243515,-0.5,0.024564222934154365,Powell
2019-09-18 14:30:00,speech,429.0,8.0,-0.029002207750346,-0.375,-0.03427651583592653,Powell
2019-10-04 14:00:00,speech,37.0,0.0,-0.16735518275684602,,-0.16735518275684602,Powell
2019-10-08 14:30:00,speech,171.0,1.0,-0.013445934509499031,-1.0,-0.023484631043951414,Powell
2019-10-09 11:00:00,speech,33.0,0.0,-0.21161342327567664,,-0.21161342327567664,Powell
2019-10-09 14:00:00,minutes,329.0,20.0,0.15523090073131138,-0.39249999999999996,0.11762110345903501,Powell
2019-10-30 14:00:00,statement,14.0,1.0,0.13412210159003735,-0.5,0.06099944694765976,Powell
2019-10-30 14:30:00,speech,406.0,9.0,-0.05784322389773107,-0.2777777777777778,-0.07024132137833705,Powell
2019-11-20 14:00:00,minutes,389.0,19.0,0.06288163418998909,-0.3973684210526316,0.02673451041941624,Powell
2019-12-11 14:00:00,statement,12.0,0.0,0.06984871532768011,,0.06984871532768011,Powell
2019-12-11 14:30:00,speech,433.0,5.0,-0.049025983267891766,0.1,-0.049419093588861804,Powell
2020-01-03 14:00:00,minutes,288.0,9.0,0.061259916006949626,-0.08333333333333333,0.03905228376000499,Powell
2020-01-29 14:00:00,statement,12.0,0.0,0.0661054840311408,,0.0661054840311408,Powell
2020-01-29 14:30:00,speech,460.0,5.0,-0.07454040250538484,-0.3,-0.0814279228043945,Powell
2020-02-11 08:30:00,speech,64.0,2.0,-0.044673925411188975,-0.5,-0.08483900237479247,Powell
2020-02-19 14:00:00,minutes,395.0,6.0,-0.01140648083690601,-0.10000000000000002,-0.02214005517903008,Powell
2020-03-03 10:00:00,statement,5.0,1.0,0.051156193017959595,-1.0,-0.2938036978244781,Powell
2020-03-03 14:30:00,speech,130.0,2.0,-0.1065309565514326,-0.5,-0.1133356551424815,Powell
2020-03-15 14:30:00,speech,356.0,4.0,-0.049527428353602965,-0.5,-0.05429883121272151,Powell
2020-03-15 17:00:00,statement,26.0,2.0,-0.004464549299042959,-0.5,-0.06553473130155069,Powell
2020-03-23 08:00:00,statement,19.0,0.0,-0.2982261444589025,,-0.2982261444589025,Powell
2020-04-08 14:00:00,minutes,331.0,17.0,0.22789147537865667,-0.7352941176470589,0.17002810746026184,Powell
2020-04-09 10:00:00,speech,39.0,1.0,-0.19295304120542148,-0.5,-0.20074499899951312,Powell
2020-04-29 14:00:00,statement,15.0,0.0,0.08813231562574704,,0.08813231562574704,Powell
2020-04-29 14:30:00,speech,390.0,4.0,-0.026262445494723625,-0.25,-0.03287913118704007,Powell
2020-05-20 14:00:00,minutes,312.0,7.0,0.20944266948992243,0.0,0.2137241005921402,Powell
2020-06-10 14:00:00,statement,15.0,0.0,-0.048321463416020075,,-0.048321463416020075,Powell
2020-06-10 14:30:00,speech,477.0,4.0,-0.014750033261672256,-0.25,-0.019946653696569755,Powell
2020-06-16 10:00:00,speech,69.0,1.0,-0.053160148038380386,-0.5,-0.07400412900724272,Powell
2020-07-01 14:00:00,minutes,310.0,4.0,0.05191253313133794,-0.25,0.05411104546679604,Powell
2020-07-29 14:00:00,statement,16.0,0.0,-0.04696301626972854,,-0.04696301626972854,Powell
2020-07-29 14:30:00,speech,510.0,2.0,-0.0030524387188694056,-0.5,-0.006015150990410179,Powell
2020-08-19 14:00:00,minutes,300.0,9.0,0.07883286543811362,0.060000000000000005,0.0781651162199676,Powell
2020-08-27 09:10:00,speech,190.0,4.0,-0.007564575950566091,-0.5,-0.022774441951983852,Powell
2020-09-16 14:00:00,statement,17.0,0.0,-0.07619125746628817,,-0.07619125746628817,Powell
2020-09-16 14:30:00,speech,516.0,6.0,-0.06218431591482241,-0.3333333333333333,-0.06838730897739992,Powell
2020-10-07 14:00:00,minutes,360.0,3.0,-0.0746882645930681,-0.16666666666666666,-0.07592858435172174,Powell
2020-11-05 14:00:00,statement,17.0,0.0,-0.06293711066246033,,-0.06293711066246033,Powell
2020-11-05 14:30:00,speech,384.0,1.0,-0.08426305474616431,-0.5,-0.08640558382709666,Powell
2020-11-25 14:00:00,minutes,313.0,8.0,0.015855288960206243,0.375,0.031426350327250295,Powell
2020-12-16 14:00:00,statement,17.0,0.0,-0.11043763467494179,,-0.11043763467494179,Powell
2020-12-16 14:30:00,speech,532.0,0.0,-0.05811753810236329,,-0.05811753810236329,Powell
2021-01-06 14:00:00,minutes,266.0,5.0,-0.048899120917277675,0.1,-0.04305334874477826,Powell
2021-01-27 14:00:00,statement,17.0,0.0,-0.1446567524005385,,-0.1446567524005385,Powell
2021-01-27 14:30:00,speech,470.0,1.0,-0.05489779402442435,0.5,-0.053368462392307345,Powell
2021-02-10 14:00:00,speech,80.0,3.0,0.10652055756654591,-0.16666666666666666,0.07629200329538435,Powell
2021-02-17 14:00:00,minutes,406.0,3.0,-0.04650136782085808,-0.16666666666666666,-0.04964301839305703,Powell
2021-02-23 10:00:00,speech,58.0,1.0,-0.13011169520303092,-0.5,-0.12281520905551212,Powell
2021-03-17 14:00:00,statement,17.0,0.0,-0.20502242577426574,,-0.20502242577426574,Powell
2021-03-17 14:30:00,speech,566.0,2.0,-0.030944482795235966,0.5,-0.029309553926804042,Powell
2021-04-07 14:00:00,minutes,289.0,6.0,-0.16707391349218503,0.2383333333333333,-0.16213583080542748,Powell
2021-04-28 14:00:00,statement,18.0,0.0,-0.3563380071686374,,-0.3563380071686374,Powell
